date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/9/2021,11/9/2021,4,top,control,25-50,5,6,0.06
11/9/2021,11/9/2021,4,top,control,0-25,5,11,0.11
11/9/2021,11/9/2021,4,top,env_rel,25-50,5,7,0.07
11/9/2021,11/9/2021,4,top,env_rel,0-25,5,9,0.09
11/9/2021,11/9/2021,4,top,high,25-50,5,12,0.12
11/9/2021,11/9/2021,4,top,high,0-25,5,22,0.22
11/9/2021,11/9/2021,4,top,control,25-50,10,4,0.04
11/9/2021,11/9/2021,4,top,control,0-25,10,13,0.13
11/9/2021,11/9/2021,4,top,env_rel,25-50,10,7,0.07
11/9/2021,11/9/2021,4,top,env_rel,0-25,10,9,0.09
11/9/2021,11/9/2021,4,top,high,25-50,10,10,0.1
11/9/2021,11/9/2021,4,top,high,0-25,10,25,0.25
11/9/2021,11/9/2021,4,top,control,25-50,15,1,0.01
11/9/2021,11/9/2021,4,top,control,0-25,15,15,0.15
11/9/2021,11/9/2021,4,top,env_rel,25-50,15,4,0.04
11/9/2021,11/9/2021,4,top,env_rel,0-25,15,11,0.11
11/9/2021,11/9/2021,4,top,high,25-50,15,12,0.12
11/9/2021,11/9/2021,4,top,high,0-25,15,28,0.28
11/9/2021,11/9/2021,4,top,control,25-50,20,2,0.02
11/9/2021,11/9/2021,4,top,control,0-25,20,15,0.15
11/9/2021,11/9/2021,4,top,env_rel,25-50,20,5,0.05
11/9/2021,11/9/2021,4,top,env_rel,0-25,20,9,0.09
11/9/2021,11/9/2021,4,top,high,25-50,20,11,0.11
11/9/2021,11/9/2021,4,top,high,0-25,20,20,0.2
11/9/2021,11/9/2021,4,top,control,25-50,25,3,0.03
11/9/2021,11/9/2021,4,top,control,0-25,25,14,0.14
11/9/2021,11/9/2021,4,top,env_rel,25-50,25,4,0.04
11/9/2021,11/9/2021,4,top,env_rel,0-25,25,10,0.1
11/9/2021,11/9/2021,4,top,high,25-50,25,8,0.08
11/9/2021,11/9/2021,4,top,high,0-25,25,27,0.27
11/9/2021,11/9/2021,4,top,control,25-50,30,1,0.01
11/9/2021,11/9/2021,4,top,control,0-25,30,15,0.15
11/9/2021,11/9/2021,4,top,env_rel,25-50,30,2,0.02
11/9/2021,11/9/2021,4,top,env_rel,0-25,30,11,0.11
11/9/2021,11/9/2021,4,top,high,25-50,30,6,0.06
11/9/2021,11/9/2021,4,top,high,0-25,30,28,0.28
